Misdemeanor Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,MISDEMEANOR SEX CRIMES (4),85,80,104,108,95,130,75,79,96,85,88,85,92,93,110,96,117,106
,MISDEMEANOR DANGEROUS DRUGS  (1),2407,1881,1937,1961,1963,2431,2975,4076,3821,3179,3578,3427,2491,1506,1292,966,856,871
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,69,88,104,137,191,289,484,536,340,362,384,486,297,163,170,182,137,93
,PETIT LARCENY                         ,1939,2280,1896,1837,1861,1757,1422,1614,1702,1583,1529,1480,1541,1703,1537,1530,1719,1694
,ASSAULT 3 AND RELATED OFFENSES        ,1606,1620,1464,1557,1755,1616,1438,1539,1540,1536,1765,1797,1811,1797,1801,1333,1352,1309
,INTOXICATED & IMPAIRED DRIVING              ,44,46,57,110,138,128,111,185,111,98,99,131,189,166,150,81,104,57
,VEHICLE AND TRAFFIC LAWS              ,397,325,195,176,166,118,123,122,96,134,107,120,99,116,123,104,113,113
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,1364,1206,1056,1104,1064,1130,1050,1190,1226,1355,1213,1158,1067,1029,1122,1149,1008,887
,CRIMINAL TRESPASS,579,401,554,638,742,896,912,1002,865,1418,1154,1028,568,399,350,305,279,177
,UNAUTHORIZED USE OF A VEHICLE           ,46,42,46,48,45,30,35,40,24,20,24,28,17,26,31,31,19,27
,OFFENSES AGAINST THE PERSON (7)      ,27,19,24,36,67,49,77,77,45,40,48,66,57,60,81,73,48,35
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),225,372,307,234,388,329,411,329,301,353,386,409,344,375,301,286,321,300
,ADMINISTRATIVE CODE (6)            ,29,33,34,37,40,34,22,25,36,30,21,37,51,26,33,30,26,16
,FRAUDS (3)                    ,155,216,117,92,129,105,104,89,69,83,127,132,141,86,103,79,118,88
,AGGRAVATED HARASSMENT 2               ,1126,1265,1124,1040,1192,1029,956,906,841,777,912,823,735,756,619,653,698,600
,OTHER MISDEMEANORS (8),317,252,204,236,378,404,411,282,306,524,551,1118,980,462,480,861,750,630
,TOTAL MISDEMEANOR OFFENSES,10434,10161,9259,9402,10254,10510,10660,12127,11445,11636,12043,12386,10527,8795,8344,7791,7674,7028
44,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,42,49,50,47,47,52,39,47,59,56,87,117,81,40,33,24,11,25
,MISDEMEANOR SEX CRIMES (4),72,103,79,84,75,68,108,92,80,102,72,109,120,117,110,109,109,102
,MISDEMEANOR DANGEROUS DRUGS  (1),2747,1903,2413,3033,3451,3043,3174,3903,3448,3049,3463,3432,2697,2119,1511,1292,1083,938
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,137,151,191,393,325,288,245,323,380,453,583,599,476,464,444,412,262,163
,PETIT LARCENY                         ,1646,1653,1541,1758,1359,1600,1636,1209,1288,1209,1363,1595,1844,2124,1975,1839,1737,1967
,ASSAULT 3 AND RELATED OFFENSES        ,1649,1566,1433,1383,1301,1423,1567,1301,1285,1343,1458,1467,1581,1645,1414,1178,1164,1309
,INTOXICATED & IMPAIRED DRIVING              ,54,50,53,68,188,146,144,156,164,91,104,56,63,124,136,77,72,53
,VEHICLE AND TRAFFIC LAWS              ,667,570,490,689,498,207,179,142,114,118,111,100,71,82,88,112,141,139
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,909,868,734,1033,923,963,979,838,1043,1016,881,796,747,822,806,879,991,1075
,CRIMINAL TRESPASS,427,326,692,858,605,706,663,969,1174,1652,1795,1070,871,401,586,687,303,324
,UNAUTHORIZED USE OF A VEHICLE           ,56,46,37,38,29,32,25,30,21,32,17,22,18,25,17,25,17,29
,OFFENSES AGAINST THE PERSON (7)      ,40,35,17,31,64,70,55,55,56,69,72,82,59,36,31,50,40,31
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),225,309,280,372,315,293,462,351,420,394,518,526,382,320,240,315,307,332
,ADMINISTRATIVE CODE (6)            ,17,31,29,21,21,25,32,13,17,36,37,29,23,13,14,19,33,31
,FRAUDS (3)                    ,229,242,166,182,200,170,126,130,123,157,148,175,143,119,168,144,123,130
,AGGRAVATED HARASSMENT 2               ,856,871,791,695,666,638,695,598,621,643,630,626,587,623,293,365,403,450
,OTHER MISDEMEANORS (8),754,501,508,717,670,890,943,1237,1178,1205,1420,1172,1285,1535,1225,1727,1740,1102
,TOTAL MISDEMEANOR OFFENSES,10527,9274,9504,11402,10737,10614,11072,11394,11471,11625,12759,11973,11048,10609,9091,9254,8536,8200
45,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,18,18,32,18,20,16,32,37,73,17,13,20,14,22,14,9,5,5
,MISDEMEANOR SEX CRIMES (4),50,52,42,39,54,44,30,54,31,29,31,25,36,32,40,52,46,44
,MISDEMEANOR DANGEROUS DRUGS  (1),380,266,203,148,276,264,314,328,299,286,332,406,281,252,207,191,178,134
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,33,31,32,19,45,49,63,60,89,91,61,85,74,82,75,82,98,69
,PETIT LARCENY                         ,1253,1574,1246,1349,1512,1182,1107,1000,1319,1366,1424,1254,1118,1155,1296,1540,1284,1253
,ASSAULT 3 AND RELATED OFFENSES        ,580,534,490,502,550,609,538,497,482,481,508,464,551,505,594,468,464,458
,INTOXICATED & IMPAIRED DRIVING              ,123,109,162,162,243,188,163,180,232,218,139,118,125,129,130,85,89,93
,VEHICLE AND TRAFFIC LAWS              ,205,162,147,171,188,225,216,163,200,108,81,69,64,64,62,58,64,79
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,860,787,671,894,896,864,915,879,741,774,683,698,674,602,722,765,684,663
,CRIMINAL TRESPASS,58,66,53,68,130,89,112,97,110,129,132,105,97,85,91,78,149,64
,UNAUTHORIZED USE OF A VEHICLE           ,39,30,27,26,20,16,21,25,13,16,8,10,16,8,21,9,17,12
,OFFENSES AGAINST THE PERSON (7)      ,34,13,11,9,14,15,16,18,21,14,9,13,13,12,18,17,12,30
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),95,115,121,88,119,123,141,118,135,134,161,152,133,141,136,154,132,122
,ADMINISTRATIVE CODE (6)            ,22,22,16,7,17,18,7,7,5,5,6,18,9,7,12,9,7,7
,FRAUDS (3)                    ,71,117,81,65,45,32,35,37,29,15,16,33,34,37,57,22,37,36
,AGGRAVATED HARASSMENT 2               ,703,738,593,535,622,566,510,550,488,511,448,411,338,380,273,256,359,342
,OTHER MISDEMEANORS (8),100,86,59,50,49,108,138,81,153,129,123,74,123,67,64,146,165,191
,TOTAL MISDEMEANOR OFFENSES,4624,4720,3986,4150,4800,4408,4358,4131,4420,4323,4175,3955,3700,3580,3812,3941,3790,3602
46,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,36,38,37,48,33,40,47,30,28,22,29,21,32,21,25,27,22,19
,MISDEMEANOR SEX CRIMES (4),98,113,79,97,86,75,103,72,80,83,75,83,81,97,84,80,77,72
,MISDEMEANOR DANGEROUS DRUGS  (1),4465,2279,2346,2551,2735,3051,3022,3218,3748,3692,3187,2418,2326,1407,1641,1208,572,576
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,228,194,275,280,354,529,445,531,526,547,529,492,359,194,199,202,82,42
,PETIT LARCENY                         ,1308,1385,1308,1449,1319,1275,1210,1111,1243,1145,900,961,922,1086,1178,973,1109,984
,ASSAULT 3 AND RELATED OFFENSES        ,1739,1716,1525,1524,1513,1396,1542,1486,1465,1498,1459,1395,1380,1472,1519,1133,1004,1061
,INTOXICATED & IMPAIRED DRIVING              ,31,50,42,38,91,77,146,204,183,184,146,86,93,134,100,50,32,37
,VEHICLE AND TRAFFIC LAWS              ,208,155,143,105,96,97,94,83,79,72,72,83,87,97,77,77,86,122
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,985,786,847,878,934,853,936,1044,1098,1106,883,718,674,677,704,678,750,685
,CRIMINAL TRESPASS,335,290,499,442,511,861,826,694,640,522,297,268,154,75,192,183,66,72
,UNAUTHORIZED USE OF A VEHICLE           ,25,33,42,39,31,27,18,20,19,15,10,12,13,17,16,12,13,12
,OFFENSES AGAINST THE PERSON (7)      ,26,26,9,12,34,26,26,34,36,42,42,53,38,37,49,32,24,22
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),285,276,293,284,278,208,293,239,271,300,296,356,275,267,290,224,210,195
,ADMINISTRATIVE CODE (6)            ,33,34,20,26,18,15,12,21,12,18,14,23,12,13,26,14,26,7
,FRAUDS (3)                    ,290,470,432,377,297,213,145,111,87,119,121,128,102,79,91,59,55,39
,AGGRAVATED HARASSMENT 2               ,904,851,732,808,788,785,787,767,697,687,708,681,566,616,509,487,463,402
,OTHER MISDEMEANORS (8),919,743,739,833,870,960,920,1088,1181,1546,1062,907,917,1027,805,914,1108,985
,TOTAL MISDEMEANOR OFFENSES,11915,9439,9368,9791,9988,10488,10572,10753,11393,11598,9830,8685,8031,7316,7505,6353,5699,5332
47,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,9,21,31,54,39,15,15,33,15,16,40,34,46,64,14,10,21,25
,MISDEMEANOR SEX CRIMES (4),60,68,76,64,72,40,61,55,44,77,80,84,87,70,103,70,102,81
,MISDEMEANOR DANGEROUS DRUGS  (1),2217,1420,1795,1782,1332,1477,1742,2434,2382,2248,2302,1935,1450,780,1119,849,584,494
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,58,81,114,108,117,132,126,158,227,286,320,269,250,189,232,182,185,113
,PETIT LARCENY                         ,1326,1227,1403,1107,957,864,820,708,688,711,762,802,933,888,1007,1010,1264,1299
,ASSAULT 3 AND RELATED OFFENSES        ,888,995,846,863,1009,928,894,840,1044,1090,1159,1116,1150,1156,1187,925,1000,970
,INTOXICATED & IMPAIRED DRIVING              ,47,75,89,86,240,127,63,149,114,85,54,77,78,119,137,98,101,163
,VEHICLE AND TRAFFIC LAWS              ,288,296,259,191,135,81,72,79,89,102,70,72,93,114,123,104,126,129
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,1162,965,1008,863,781,790,914,927,793,844,904,879,846,766,859,867,1054,1072
,CRIMINAL TRESPASS,282,257,327,310,346,337,269,399,658,454,314,312,289,157,181,209,115,76
,UNAUTHORIZED USE OF A VEHICLE           ,22,23,24,35,47,53,38,26,28,9,21,28,28,21,18,23,16,39
,OFFENSES AGAINST THE PERSON (7)      ,27,15,15,13,18,13,15,12,16,18,18,23,20,28,17,26,29,24
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),167,187,190,146,179,201,186,187,225,250,231,232,211,241,240,240,274,284
,ADMINISTRATIVE CODE (6)            ,52,32,44,34,29,24,36,32,32,24,24,20,24,28,30,36,38,38
,FRAUDS (3)                    ,165,175,108,140,88,96,69,62,70,69,88,67,77,75,86,76,102,89
,AGGRAVATED HARASSMENT 2               ,746,740,749,644,667,654,643,596,516,553,507,455,516,427,319,403,392,429
,OTHER MISDEMEANORS (8),574,556,350,337,355,400,327,472,410,705,783,487,856,896,458,840,767,583
,TOTAL MISDEMEANOR OFFENSES,8090,7133,7428,6777,6411,6232,6290,7169,7351,7541,7677,6892,6954,6019,6130,5968,6170,5908
48,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,51,34,48,55,56,29,36,60,50,50,50,35,27,26,14,12,24,14
,MISDEMEANOR SEX CRIMES (4),76,60,72,72,65,62,54,81,51,75,87,70,60,65,80,69,85,70
,MISDEMEANOR DANGEROUS DRUGS  (1),1889,1308,1093,1099,1084,1026,1030,1286,1301,1184,1246,1414,1649,1591,1609,1101,800,546
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,48,63,69,83,109,96,113,286,246,229,234,149,91,111,132,150,118,131
,PETIT LARCENY                         ,1266,1310,1168,1209,1176,1011,1040,1085,857,869,958,1001,1068,1115,1081,932,1061,1190
,ASSAULT 3 AND RELATED OFFENSES        ,968,1002,992,1004,1081,1026,1019,1214,1046,1116,1125,995,1167,1131,1148,965,889,939
,INTOXICATED & IMPAIRED DRIVING              ,43,29,40,62,134,106,58,85,96,100,80,76,101,159,120,76,58,43
,VEHICLE AND TRAFFIC LAWS              ,420,236,177,132,133,88,98,93,77,99,102,63,78,96,94,77,86,91
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,763,708,617,673,642,630,780,818,832,759,749,699,679,660,724,640,711,804
,CRIMINAL TRESPASS,533,260,135,97,156,119,178,585,420,468,390,265,154,254,290,165,82,81
,UNAUTHORIZED USE OF A VEHICLE           ,18,30,30,22,26,21,19,25,19,17,20,17,25,18,14,25,23,32
,OFFENSES AGAINST THE PERSON (7)      ,13,12,24,10,36,21,25,42,35,34,37,30,35,34,23,39,17,19
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),134,163,188,199,222,213,206,291,257,269,289,219,242,286,260,251,240,152
,ADMINISTRATIVE CODE (6)            ,11,15,19,22,10,17,7,15,10,12,11,6,14,12,12,11,8,6
,FRAUDS (3)                    ,89,130,81,32,119,66,66,61,71,98,69,64,85,76,61,63,54,31
,AGGRAVATED HARASSMENT 2               ,545,575,592,576,589,569,544,506,532,538,501,369,354,438,366,366,396,376
,OTHER MISDEMEANORS (8),280,374,246,198,197,323,399,453,362,484,725,590,518,500,283,601,580,455
,TOTAL MISDEMEANOR OFFENSES,7147,6309,5591,5545,5835,5423,5672,6986,6262,6401,6673,6062,6347,6572,6311,5543,5232,4980
49,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,12,18,22,23,26,16,29,21,8,15,20,33,30,26,21,15,15,18
,MISDEMEANOR SEX CRIMES (4),54,49,51,43,27,32,46,40,39,49,45,49,70,35,45,52,64,50
,MISDEMEANOR DANGEROUS DRUGS  (1),266,297,389,279,137,232,297,378,419,445,466,393,455,630,467,359,561,582
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,32,50,57,44,26,36,47,52,59,42,32,53,93,91,109,120,116,153
,PETIT LARCENY                         ,1238,1411,1255,1256,1326,1122,1098,1006,1015,934,939,951,929,1074,1268,1063,929,971
,ASSAULT 3 AND RELATED OFFENSES        ,704,825,755,723,497,514,585,593,587,603,778,672,722,710,745,511,501,465
,INTOXICATED & IMPAIRED DRIVING              ,28,36,45,37,74,64,48,80,58,66,43,36,44,62,61,42,41,54
,VEHICLE AND TRAFFIC LAWS              ,153,186,166,125,76,56,88,77,68,350,395,347,362,570,392,306,350,439
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,684,694,693,692,790,670,833,902,860,879,879,757,699,666,661,656,557,588
,CRIMINAL TRESPASS,56,81,117,111,77,122,89,109,108,214,257,245,158,125,175,129,118,50
,UNAUTHORIZED USE OF A VEHICLE           ,36,35,45,25,34,29,26,14,14,22,16,25,24,22,28,27,19,32
,OFFENSES AGAINST THE PERSON (7)      ,13,14,13,7,7,7,13,11,13,8,12,10,8,19,17,11,20,33
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),110,155,127,110,138,103,116,128,132,145,153,144,126,118,123,121,97,72
,ADMINISTRATIVE CODE (6)            ,28,20,17,15,12,15,15,16,20,17,9,18,19,11,18,14,13,13
,FRAUDS (3)                    ,106,198,42,83,40,36,54,50,54,58,42,42,76,123,91,45,48,34
,AGGRAVATED HARASSMENT 2               ,674,705,674,569,591,561,545,644,522,539,509,499,384,428,318,324,296,253
,OTHER MISDEMEANORS (8),230,182,104,140,190,202,255,410,361,297,333,275,532,638,600,599,547,453
,TOTAL MISDEMEANOR OFFENSES,4424,4956,4572,4282,4068,3817,4184,4531,4337,4683,4928,4549,4731,5348,5139,4394,4292,4260
50,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,19,12,11,15,12,8,9,11,27,28,16,20,21,7,9,16,6,12
,MISDEMEANOR SEX CRIMES (4),40,40,40,30,35,22,42,24,15,17,27,23,34,34,19,29,19,24
,MISDEMEANOR DANGEROUS DRUGS  (1),223,169,233,180,159,165,195,406,325,559,262,380,284,287,344,376,394,247
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,42,30,42,33,45,41,36,25,49,92,82,73,53,34,48,77,55,22
,PETIT LARCENY                         ,1010,952,956,819,754,673,760,769,828,792,808,831,813,746,838,773,804,782
,ASSAULT 3 AND RELATED OFFENSES        ,450,412,400,360,391,394,367,396,383,392,468,429,470,374,409,352,321,318
,INTOXICATED & IMPAIRED DRIVING              ,35,25,27,58,154,116,78,84,69,41,44,62,48,60,59,53,45,38
,VEHICLE AND TRAFFIC LAWS              ,117,78,66,69,76,46,43,56,45,42,37,50,48,42,42,41,42,44
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,661,461,477,419,382,408,549,687,686,604,429,487,433,426,431,446,453,466
,CRIMINAL TRESPASS,63,73,77,119,136,141,120,107,216,191,130,217,97,73,37,22,38,35
,UNAUTHORIZED USE OF A VEHICLE           ,20,10,19,11,16,14,15,13,10,15,16,5,7,15,11,17,11,11
,OFFENSES AGAINST THE PERSON (7)      ,11,16,15,13,37,18,10,11,12,15,17,7,14,13,13,7,9,5
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),72,63,101,85,91,114,99,89,66,116,94,112,77,83,79,77,67,57
,ADMINISTRATIVE CODE (6)            ,4,3,3,5,4,4,6,8,1,4,4,6,5,4,8,9,11,10
,FRAUDS (3)                    ,106,46,30,28,33,33,35,33,48,57,46,73,86,47,60,59,60,46
,AGGRAVATED HARASSMENT 2               ,487,453,335,295,278,313,357,378,361,373,362,293,264,261,199,240,262,274
,OTHER MISDEMEANORS (8),83,73,79,56,79,81,51,44,84,139,68,48,60,41,89,154,220,142
,TOTAL MISDEMEANOR OFFENSES,3443,2916,2911,2595,2682,2591,2772,3141,3225,3477,2910,3116,2814,2547,2695,2748,2817,2533
52,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,39,22,21,25,15,28,16,32,50,46,40,63,60,55,21,17,8,15
,MISDEMEANOR SEX CRIMES (4),78,93,73,81,59,82,73,71,59,83,78,64,95,87,82,89,86,80
,MISDEMEANOR DANGEROUS DRUGS  (1),2885,1527,1964,1777,1613,2023,2065,2305,2086,2399,2863,2683,2075,1756,1830,1329,974,986
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,77,57,67,56,76,83,79,115,176,168,325,365,193,186,158,133,110,132
,PETIT LARCENY                         ,1155,1391,1552,1617,1506,1380,1290,1198,1226,1190,1289,1571,1703,1590,1808,1709,1706,1716
,ASSAULT 3 AND RELATED OFFENSES        ,1317,1311,1174,1125,1129,1074,993,1064,1086,943,1029,1176,1243,1169,1239,920,994,961
,INTOXICATED & IMPAIRED DRIVING              ,35,56,34,53,77,60,56,138,123,76,91,79,65,113,103,79,119,154
,VEHICLE AND TRAFFIC LAWS              ,377,413,351,220,165,94,96,104,285,431,790,198,127,101,64,106,102,124
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,802,871,890,888,810,850,917,993,1015,928,725,802,794,707,731,878,821,774
,CRIMINAL TRESPASS,285,219,203,186,199,208,152,254,330,296,553,455,189,169,312,224,106,94
,UNAUTHORIZED USE OF A VEHICLE           ,38,32,21,40,28,24,17,31,19,13,16,11,16,18,23,12,16,30
,OFFENSES AGAINST THE PERSON (7)      ,27,16,35,35,21,26,18,28,26,15,30,44,31,39,26,15,22,36
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),231,298,239,180,234,162,219,187,222,245,254,261,236,241,274,238,162,216
,ADMINISTRATIVE CODE (6)            ,33,32,32,36,36,26,21,12,8,19,25,20,36,32,32,26,22,22
,FRAUDS (3)                    ,110,169,85,66,62,54,60,94,52,74,60,70,70,101,73,65,46,56
,AGGRAVATED HARASSMENT 2               ,971,872,850,767,794,769,781,713,685,678,646,606,613,551,397,446,512,535
,OTHER MISDEMEANORS (8),568,461,294,331,343,346,281,436,569,877,1557,993,1339,1228,1157,829,796,914
,TOTAL MISDEMEANOR OFFENSES,9028,7840,7885,7483,7167,7289,7134,7775,8017,8481,10371,9461,8885,8143,8330,7115,6602,6845
60,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,10,21,18,21,12,18,20,16,10,7,14,32,19,33,15,10,12,11
,MISDEMEANOR SEX CRIMES (4),86,55,79,56,56,53,77,73,57,59,69,67,63,53,47,58,58,71
,MISDEMEANOR DANGEROUS DRUGS  (1),1262,1339,1537,871,714,901,761,1020,1030,1357,1223,1021,721,739,942,759,604,775
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,52,60,69,67,85,88,75,68,78,74,75,68,67,80,84,86,52,54
,PETIT LARCENY                         ,1447,1339,1441,1098,1009,995,938,1059,1132,1037,1170,899,1038,933,893,922,891,929
,ASSAULT 3 AND RELATED OFFENSES        ,904,883,847,855,822,837,826,693,738,614,594,685,652,676,708,614,599,553
,INTOXICATED & IMPAIRED DRIVING              ,62,62,55,72,96,108,123,133,131,135,116,104,101,121,111,104,96,77
,VEHICLE AND TRAFFIC LAWS              ,99,93,66,72,57,55,54,60,46,51,56,48,43,42,44,57,44,57
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,770,659,630,669,725,631,583,655,724,582,778,674,648,612,581,493,517,529
,CRIMINAL TRESPASS,389,307,246,142,113,111,143,156,212,254,277,202,174,150,140,255,236,138
,UNAUTHORIZED USE OF A VEHICLE           ,24,28,25,18,19,15,21,15,18,19,15,24,18,20,16,12,22,20
,OFFENSES AGAINST THE PERSON (7)      ,13,20,22,14,15,21,28,16,9,13,25,20,20,16,13,15,13,25
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),132,111,133,119,119,149,157,129,137,169,190,150,172,121,118,133,126,116
,ADMINISTRATIVE CODE (6)            ,5,15,6,2,8,16,5,7,6,10,10,7,5,12,6,11,10,5
,FRAUDS (3)                    ,60,91,30,40,79,51,54,36,33,28,30,35,31,33,42,70,70,89
,AGGRAVATED HARASSMENT 2               ,517,603,443,475,511,465,441,438,422,369,366,396,336,299,226,278,291,264
,OTHER MISDEMEANORS (8),551,353,488,295,315,246,255,258,232,238,277,238,320,501,421,597,694,574
,TOTAL MISDEMEANOR OFFENSES,6383,6039,6135,4886,4755,4760,4561,4832,5015,5016,5285,4670,4428,4441,4407,4474,4335,4287
61,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,9,12,10,11,4,22,29,14,21,29,25,23,45,33,16,14,16,12
,MISDEMEANOR SEX CRIMES (4),82,55,45,46,56,50,65,54,54,63,58,39,62,51,40,32,48,81
,MISDEMEANOR DANGEROUS DRUGS  (1),576,665,734,583,276,304,319,469,479,440,561,620,606,391,439,391,336,376
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,21,28,29,25,30,43,51,62,62,68,78,78,57,35,43,32,55,26
,PETIT LARCENY                         ,1320,1445,1403,1485,1443,1257,1294,1374,1327,1331,1091,1115,1039,1001,1025,964,973,1028
,ASSAULT 3 AND RELATED OFFENSES        ,613,647,641,713,709,639,669,746,616,573,582,499,560,516,503,435,409,422
,INTOXICATED & IMPAIRED DRIVING              ,66,52,59,94,94,111,155,152,232,210,177,135,153,154,127,96,69,80
,VEHICLE AND TRAFFIC LAWS              ,180,157,142,134,125,74,70,67,76,80,64,59,87,83,79,92,102,99
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,720,597,625,740,675,725,758,826,798,643,602,517,436,356,441,526,506,544
,CRIMINAL TRESPASS,74,83,191,96,65,67,120,113,134,129,156,135,120,98,115,94,95,72
,UNAUTHORIZED USE OF A VEHICLE           ,26,18,27,23,24,21,16,24,27,25,49,46,43,41,40,46,37,38
,OFFENSES AGAINST THE PERSON (7)      ,14,8,9,17,8,11,19,29,20,12,14,9,13,5,8,8,3,20
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),126,107,83,79,91,145,146,161,138,119,118,90,71,47,52,37,44,65
,ADMINISTRATIVE CODE (6)            ,22,16,15,10,12,16,18,15,5,24,14,12,14,13,12,9,12,18
,FRAUDS (3)                    ,198,135,67,84,118,57,61,76,94,179,129,115,81,53,75,51,45,43
,AGGRAVATED HARASSMENT 2               ,702,660,600,637,626,534,530,505,481,498,381,345,334,282,287,260,277,269
,OTHER MISDEMEANORS (8),340,274,217,215,222,192,120,92,98,118,117,181,166,196,215,286,251,249
,TOTAL MISDEMEANOR OFFENSES,5089,4959,4897,4992,4578,4268,4440,4779,4662,4541,4216,4018,3887,3355,3517,3373,3278,3442
62,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,1,10,9,12,14,32,42,54,59,48,51,104,96,52,53,37,20,14
,MISDEMEANOR SEX CRIMES (4),58,49,49,40,59,54,49,63,64,54,51,59,69,51,50,31,56,59
,MISDEMEANOR DANGEROUS DRUGS  (1),309,355,473,285,162,170,144,225,307,372,238,265,381,273,336,268,236,233
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,12,18,14,12,18,41,39,39,54,120,71,63,74,35,35,27,43,23
,PETIT LARCENY                         ,1104,977,1180,1028,954,1045,1212,1054,1138,1130,971,944,800,874,954,934,988,1087
,ASSAULT 3 AND RELATED OFFENSES        ,601,552,520,531,592,670,760,679,514,485,495,503,497,506,690,638,512,419
,INTOXICATED & IMPAIRED DRIVING              ,37,59,45,44,91,131,107,131,135,115,90,95,119,94,97,89,75,53
,VEHICLE AND TRAFFIC LAWS              ,203,198,114,86,86,77,79,69,48,59,66,69,74,61,58,86,69,62
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,803,686,598,648,618,591,794,796,844,773,681,669,561,553,535,540,486,503
,CRIMINAL TRESPASS,46,39,34,45,50,59,78,70,50,39,49,58,43,55,61,48,60,39
,UNAUTHORIZED USE OF A VEHICLE           ,27,21,18,14,33,25,24,26,21,33,19,22,28,20,17,19,35,36
,OFFENSES AGAINST THE PERSON (7)      ,19,15,9,4,6,16,9,12,14,17,5,18,16,11,12,9,11,12
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),8,21,19,49,54,74,85,60,56,36,67,45,52,70,131,97,63,53
,ADMINISTRATIVE CODE (6)            ,37,25,11,7,6,16,11,22,10,6,16,10,11,14,8,6,17,17
,FRAUDS (3)                    ,92,100,192,172,117,52,63,22,29,54,56,67,59,76,75,43,42,33
,AGGRAVATED HARASSMENT 2               ,660,648,610,551,566,630,618,639,573,476,392,390,346,376,333,329,268,272
,OTHER MISDEMEANORS (8),260,212,121,169,319,265,144,117,148,156,149,130,108,119,150,260,270,228
,TOTAL MISDEMEANOR OFFENSES,4277,3985,4016,3697,3745,3948,4258,4078,4064,3973,3467,3511,3334,3240,3595,3461,3251,3143
63,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,5,4,18,9,14,14,9,8,12,6,11,16,24,19,12,6,8,9
,MISDEMEANOR SEX CRIMES (4),40,30,49,40,45,40,54,42,31,32,43,28,29,24,28,31,49,66
,MISDEMEANOR DANGEROUS DRUGS  (1),265,472,625,420,243,177,197,218,189,282,377,366,299,252,275,196,214,144
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,18,11,30,25,28,34,46,34,41,43,44,93,46,33,31,41,41,44
,PETIT LARCENY                         ,1066,1132,1115,962,1190,1168,1141,1021,1175,1138,1019,1204,1057,1025,994,1006,986,836
,ASSAULT 3 AND RELATED OFFENSES        ,455,451,456,476,492,464,451,483,407,464,439,366,384,352,392,337,254,303
,INTOXICATED & IMPAIRED DRIVING              ,39,33,29,44,52,80,92,129,173,102,116,95,75,94,129,77,63,73
,VEHICLE AND TRAFFIC LAWS              ,144,101,67,77,58,58,32,36,44,48,65,50,35,55,35,36,60,60
